EPOCH                          SW_VTH        ION_NP      DEL_TIME      VX_(GSM)      VY_(GSM)      VZ_(GSM)
                                                                         (@_x_)        (@_y_)        (@_z_)
dd-mm-yyyyhh:mm:ss.ms            km/s          #/cc            ms          km/s          km/s          km/s
06-01-1997 01:18:43.685       21.3814       10.7793       8498.90      -329.164      -4.54299      -1.44190
06-01-1997 01:20:06.587       22.3769       11.4086       8498.90      -327.802      -5.08879      -1.45064
06-01-1997 01:21:26.418       21.1645       10.8660       8499.07      -327.077       2.05818       5.74793
06-01-1997 01:22:49.319       22.7462       11.1937       8499.07      -328.565      -3.46339     -0.493554
06-01-1997 01:24:12.221       23.3247       11.8115       8498.90      -326.725      -6.63325      -2.26548
06-01-1997 01:25:35.123       25.9240       12.2043       8498.90      -328.635      0.902850      -3.20822
06-01-1997 01:26:58.024       23.7443       11.7789       8498.90      -328.259      -5.45619      -1.59663
06-01-1997 01:28:17.855       23.1453       11.6934       8498.90      -328.996       7.62910      -3.85238
06-01-1997 01:29:42.292       21.9189       12.3125       6963.70      -334.606       8.67868       11.6308
06-01-1997 01:31:04.481       19.5047       10.9819       7816.67      -333.354       6.45474       9.01916
06-01-1997 01:32:27.383       20.1566       11.1739       7816.67      -331.855       4.62747       7.61820
06-01-1997 01:33:49.462       20.4274       11.4281       8499.07      -331.228      -3.83017       1.86658
06-01-1997 01:35:12.363       23.0520       12.0586       8498.90      -328.938      -6.48898      0.349078
06-01-1997 01:36:33.118       19.8634       15.2533       6140.80      -314.092       58.1720       21.6584
06-01-1997 01:38:01.237       22.9360       8.93031       8499.07      -340.444       3.75786       3.24682
06-01-1997 01:39:21.069       22.1972       9.29513       8499.07      -339.045       5.49747       3.62588
06-01-1997 01:40:42.434       20.8462       7.55065       6963.70      -337.753       9.90187      -2.68829
06-01-1997 01:42:05.336       22.9768       9.21604       6963.70      -337.647       4.36042       5.03128
06-01-1997 01:43:28.238       21.8960       8.07459       6963.83      -338.723       1.27979       6.01116
06-01-1997 01:44:51.140       23.3540       8.98761       6963.83      -334.284       1.24348       2.46719
06-01-1997 01:46:10.970       26.6838       11.2857       6963.70      -332.567       1.02831       2.08347
06-01-1997 01:47:33.872       24.2455       9.97379       6963.70      -330.881       3.02922     -0.325035
06-01-1997 01:48:55.238       24.3691       11.9258       8498.90      -327.112      -2.16428       1.16237
06-01-1997 01:50:18.281       26.1317       10.8620       8358.57      -329.667       1.53121      0.593621
06-01-1997 01:51:44.112       20.7111       11.6391       8499.07      -338.704       8.25219       6.37461
06-01-1997 01:53:03.978       22.0931       11.3223       8534.00      -341.277       7.50874       6.92474
06-01-1997 01:54:26.844       22.7052       11.6813       8498.90      -338.361       6.38234     -0.365355
06-01-1997 01:55:48.211       25.3212       12.2246       6963.70      -336.653       4.02265       3.52136
06-01-1997 01:57:08.042       24.6757       11.8053       6963.83      -335.197       3.46829       2.89739
06-01-1997 01:58:30.944       24.6172       11.6573       6963.70      -333.798      -2.01697       1.91440
06-01-1997 01:59:50.775       25.3085       9.90999       6963.70      -331.871     -0.864735     -0.694631
06-01-1997 02:01:12.281       22.9777       10.9299       8358.40      -328.493      -8.74253      -4.29950
06-01-1997 02:02:35.184       24.1934       10.1526       8358.57      -330.705      -6.42459      -5.86920
06-01-1997 02:03:58.084       25.6548       10.8873       8358.40      -329.739      -3.48861     -0.748059
06-01-1997 02:05:20.986       24.7865       9.63251       8358.40      -328.676      -3.11289      0.260988
06-01-1997 02:06:40.677       26.0500       9.66471       8498.90      -325.339      -2.46625       1.49013
06-01-1997 02:08:03.579       26.2374       10.4611       8498.90      -321.835      -4.44641       3.47242
06-01-1997 02:09:26.480       22.7058       11.6770       8498.97      -323.916      -8.18649      -6.30787
06-01-1997 02:10:49.382       22.9428       10.8372       8498.90      -324.006      -5.51469      -5.68564
06-01-1997 02:12:12.424       26.0664       9.74258       8358.57      -328.142       4.50364      -4.02412
06-01-1997 02:13:36.721       25.5337       12.6261       6963.83      -334.499       7.93964     -0.545098
06-01-1997 02:14:59.658       22.5252       11.9159       6998.93      -338.014       10.2021     -0.765689
06-01-1997 02:16:22.523       22.4964       11.7696       6963.70      -335.365       9.13936       1.73557
06-01-1997 02:17:42.354       22.2116       11.8944       6963.83      -337.209       9.26002     -0.385040
06-01-1997 02:19:05.256       22.6971       11.3024       6963.83      -337.961       6.57411     0.0271582
06-01-1997 02:20:28.157       23.0769       12.1712       6963.70      -333.090       5.44883       2.05589
06-01-1997 02:21:51.059       24.5905       12.7191       6963.70      -336.671       4.59887     0.0182795
06-01-1997 02:23:13.960       22.5555       11.4804       6963.83      -332.169       4.36564     -0.853788
06-01-1997 02:24:33.792       25.1667       12.3919       6963.83      -332.724       4.59155       5.55457
06-01-1997 02:25:55.980       22.7046       12.0687       7816.50      -330.537       1.57493       7.89156
06-01-1997 02:27:18.201       22.1542       10.7973       8358.40      -328.670      -4.83144      0.864009
06-01-1997 02:28:39.426       22.8269       9.76092       6963.83      -331.811     -0.302359      -1.63186
06-01-1997 02:30:02.328       21.7072       8.88709       6963.83      -331.241     -0.865608      -4.43498
06-01-1997 02:31:23.834       23.0486       10.3321       8358.40      -328.457      -1.98286      -4.54023
06-01-1997 02:32:48.131       23.4207       9.41184       6963.70      -333.719     -0.132224      -8.06371
06-01-1997 02:34:11.032       24.4470       10.7727       6963.70      -337.625       3.26456      -9.41784
06-01-1997 02:35:30.863       22.1966       10.8812       6963.70      -339.465       8.83153       2.52707
06-01-1997 02:36:53.800       22.2523       10.7842       6998.80      -340.572       6.85164       3.53976
06-01-1997 02:38:13.596       19.9147       9.33992       6963.70      -337.355       7.53380       3.29069
06-01-1997 02:39:36.498       20.6772       9.36683       6963.70      -335.778       8.70379       1.75243
06-01-1997 02:40:59.399       20.5281       8.69769       6963.70      -333.300       7.37093     -0.822280
06-01-1997 02:42:19.230       20.6377       8.75154       6963.70      -333.330       4.73740       2.12932
06-01-1997 02:43:42.167       21.7348       9.66756       6998.80      -329.983       11.1361       1.63046
06-01-1997 02:45:01.963       21.6305       9.63736       6963.83      -331.209       7.44372       4.23328
06-01-1997 02:46:24.864       22.4797       9.39570       6963.83      -332.272       4.34004      0.289880
06-01-1997 02:47:46.231       21.0214       12.1054       8498.90      -327.513      0.195543      -2.37480
06-01-1997 02:49:09.132       21.4468       11.5107       8498.90      -325.550     -0.421536      -2.82957
06-01-1997 02:50:32.034       21.7795       12.1320       8499.07      -325.527      -1.02120      -3.01898
06-01-1997 02:51:52.005       20.5881       11.4288       8358.40      -328.881      -4.37984      -3.75402
06-01-1997 02:53:14.908       21.6410       11.7595       8358.40      -329.547      -4.81817      -3.07919
06-01-1997 02:54:37.809       21.4362       11.8514       8358.40      -327.905      -3.33458      -4.47074
06-01-1997 02:56:00.710       21.7807       11.8998       8358.40      -328.899      -4.02415      -2.36045
06-01-1997 02:57:23.612       21.7225       12.0943       8358.40      -329.899      -3.27537      -2.82798
06-01-1997 02:58:46.514       20.3800       12.7209       8358.57      -330.290      -5.77139      -2.13350
06-01-1997 03:00:09.415       21.6362       13.0505       8358.57      -332.710      -5.38612      -1.23798
06-01-1997 03:01:33.711       21.7664       13.2406       6963.70      -335.521      -5.32965       2.48938
06-01-1997 03:02:53.542       20.7509       13.2492       6963.70      -337.446      -2.34877      0.804481
06-01-1997 03:04:05.343  -1.00000E+31  -1.00000E+31   9.99900E+06  -1.00000E+31  -1.00000E+31  -1.00000E+31
06-01-1997 03:05:40.881       22.6735       13.3249       8499.07      -338.276      -3.51161       4.98851
06-01-1997 03:07:02.248       22.4961       12.7383       6963.70      -337.260      -2.14696      0.780200
06-01-1997 03:08:25.148       22.0573       11.5385       6963.83      -333.751      -2.67358      0.283933
06-01-1997 03:09:44.979       22.1545       11.3442       6963.83      -334.305     -0.602996       3.42244
06-01-1997 03:11:07.881       22.5752       12.4498       6963.70      -337.632      0.350122       1.64589
06-01-1997 03:12:30.782       21.5991       11.3350       6963.70      -336.156       1.13409       1.79223
06-01-1997 03:13:55.220       23.4200       12.1998       8499.07      -337.067       1.11463       2.93749
06-01-1997 03:15:16.585       23.8713       12.0433       6963.70      -336.593    -0.0955827       1.88687
06-01-1997 03:16:36.416       22.8207       11.3041       6963.70      -335.714       1.06897     -0.298695
06-01-1997 03:17:59.318       21.9270       12.5047       6963.70      -339.261      -2.61838      -2.12840
06-01-1997 03:19:22.220       21.1430       12.5035       6963.83      -338.652      -2.06982      -3.90495
06-01-1997 03:20:42.051       22.4880       11.4634       6963.70      -336.975      -1.26718      -1.38138
06-01-1997 03:22:04.953       22.4627       11.7743       6963.70      -336.242      -1.32105      -1.80072
06-01-1997 03:23:24.784       21.9224       11.7691       6963.83      -337.408      -2.26508      -4.99328
06-01-1997 03:24:47.685       22.2093       11.4846       6963.83      -335.587      -2.44300     -0.447100
06-01-1997 03:26:09.192       19.9397       13.2294       8358.40      -332.749      -5.09467      0.924542
06-01-1997 03:27:32.093       21.2331       13.3085       8358.40      -332.819      -3.36866       2.93662
06-01-1997 03:28:54.995       20.9779       13.8671       8358.57      -333.275      -3.34718       3.76800
06-01-1997 03:30:16.220       21.3803       13.6179       6963.70      -335.096      -5.50675     -0.570773
06-01-1997 03:31:39.123       21.7356       13.5260       6963.70      -334.016      -5.12922      -1.41895
06-01-1997 03:33:02.023       20.3523       12.7481       6963.76      -336.140      -2.44433     -0.957490
06-01-1997 03:34:24.925       20.6252       12.1643       6963.70      -335.658      -1.49016       2.36757
06-01-1997 03:35:47.828       20.6404       13.4968       6963.83      -336.470      -2.38265       2.39745
06-01-1997 03:37:10.728       20.7522       13.0344       6963.83      -335.736      -3.13421      -1.42935
06-01-1997 03:38:33.630       22.1369       13.3582       6963.83      -337.591      0.197415       1.87964
06-01-1997 03:39:56.531       21.8541       10.6201       6963.70      -336.379      0.754207      -1.02708
06-01-1997 03:41:16.362       22.5382       10.9665       6963.83      -334.816       1.82885      -4.52822
06-01-1997 03:42:39.264       22.0143       11.5241       6963.70      -335.850       2.48901      -6.05028
